,country,2000,2100,diff,Рівень населення
0,Burundi,6378.871,50904.072,44525.201,зросте
1,Comoros,542.358,2186.509,1644.151,зросте
2,Djibouti,717.577,1331.656,614.079,зросте
3,Eritrea,2292.413,9061.777,6769.364,зросте
4,Ethiopia,66224.809,294392.903,228168.09399999998,зросте
5,Kenya,31964.557,125423.855,93459.298,зросте
6,Madagascar,15766.806,99957.34,84190.534,зросте
7,Malawi,11148.751,66559.386,55410.634999999995,зросте
8,Mauritius,1185.147,827.303,-357.84399999999994,впаде
9,Mayotte,150.331,745.691,595.36,зросте
10,Mozambique,17711.925,123646.947,105935.022,зросте
11,Reunion,736.714,901.249,164.53499999999997,зросте
12,Rwanda,7933.688,33412.643,25478.954999999994,зросте
13,Seychelles,80.998,88.327,7.3289999999999935,зросте
14,Somalia,8872.25,75716.429,66844.179,зросте
15,South Sudan,6199.396,31738.064,25538.667999999998,зросте
16,Uganda,23650.159,136784.876,113134.71699999999,зросте
17,United Republic of Tanzania,33499.177,285651.846,252152.66900000002,зросте
18,Zambia,10415.942,81546.198,71130.25600000001,зросте
19,Zimbabwe,11881.482,30965.421,19083.939,зросте
20,Angola,16395.477,188283.132,171887.65500000003,зросте
21,Cameroon,15513.944,90225.178,74711.234,зросте
22,Central African Republic,3640.421,11631.41,7990.989,зросте
23,Chad,8355.654,61849.82,53494.166,зросте
24,Congo,3127.42,20961.987,17834.567000000003,зросте
25,Democratic Republic of the Congo,47105.83,362031.082,314925.252,зросте
26,Equatorial Guinea,606.18,4510.631,3904.4510000000005,зросте
27,Gabon,1228.359,5859.225,4630.866,зросте
28,Sao Tome and Principe,142.264,708.097,565.833,зросте
29,Botswana,1643.333,4165.861,2522.528,зросте
30,Eswatini,1005.432,2145.198,1139.7659999999998,зросте
31,Lesotho,2032.805,2695.438,662.633,зросте
32,Namibia,1794.583,5373.589,3579.006,зросте
33,South Africa,44967.713,79190.832,34223.11899999999,зросте
34,Benin,6865.946,47208.998,40343.051999999996,зросте
35,Burkina Faso,11607.951,83194.233,71586.28199999999,зросте
36,Cabo Verde,428.178,603.949,175.77099999999996,зросте
37,Cote d'Ivoire,16454.66,96632.721,80178.061,зросте
38,Gambia,1317.708,8175.553,6857.844999999999,зросте
39,Ghana,19278.85,79011.409,59732.559,зросте
40,Guinea,8240.735,45256.876,37016.140999999996,зросте
41,Guinea-Bissau,1201.305,5706.289,4504.9839999999995,зросте
42,Liberia,2848.447,15525.036,12676.589,зросте
43,Mali,10946.448,80382.697,69436.249,зросте
44,Mauritania,2630.217,17064.607,14434.39,зросте
45,Niger,11331.561,164947.337,153615.776,зросте
46,Nigeria,122283.853,732941.596,610657.743,зросте
47,Saint Helena,6.054,4.496,-1.5579999999999998,впаде
48,Senegal,9797.731,63515.357,53717.626000000004,зросте
49,Sierra Leone,4584.57,16675.197,12090.627,зросте
50,Togo,4924.406,26949.191,22024.785,зросте
51,Algeria,31042.238,70704.619,39662.38100000001,зросте
52,Egypt,68831.561,224735.18,155903.619,зросте
53,Libya,5357.893,8011.54,2653.647,зросте
54,Morocco,28793.672,44707.864,15914.192000000003,зросте
55,Sudan,27275.019,142342.356,115067.337,зросте
56,Tunisia,9708.347,12972.285,3263.938,зросте
57,Western Sahara,314.116,1383.773,1069.657,зросте
58,Armenia,3069.597,2038.613,-1030.9840000000002,впаде
59,Azerbaijan,8122.743,9192.141,1069.3979999999992,зросте
60,Bahrain,664.61,2251.891,1587.281,зросте
61,Cyprus,943.288,1308.911,365.62300000000005,зросте
62,Georgia,4362.184,2514.13,-1848.054,впаде
63,Iraq,23497.589,107711.273,84213.68400000001,зросте
64,Israel,5945.949,18127.523,12181.574,зросте
65,Jordan,5122.495,13644.11,8521.615000000002,зросте
66,Kuwait,2045.123,6188.983,4143.860000000001,зросте
67,Lebanon,3842.774,5707.209,1864.435,зросте
68,Oman,2267.973,7267.893,4999.92,зросте
69,Qatar,592.467,4162.408,3569.9410000000003,зросте
70,Saudi Arabia,20663.84,42231.012,21567.172000000002,зросте
71,State of Palestine,3224.009,12268.218,9044.209,зросте
72,Syrian Arab Republic,16410.847,36103.178,19692.331,зросте
73,Turkey,63240.196,86170.462,22930.265999999996,зросте
74,United Arab Emirates,3134.067,12909.869,9775.802,зросте
75,Yemen,17409.071,53171.32,35762.248999999996,зросте
76,Kazakhstan,14922.724,27917.815,12995.090999999999,зросте
77,Kyrgyzstan,4920.712,10984.938,6064.226,зросте
78,Tajikistan,6216.329,25328.026,19111.697,зросте
79,Turkmenistan,4516.128,8421.349,3905.2210000000005,зросте
80,Uzbekistan,24769.955,42270.842,17500.886999999995,зросте
81,Afghanistan,20779.957,74937.961,54158.004,зросте
82,Bangladesh,127657.862,151393.018,23735.156000000017,зросте
83,Bhutan,591.014,686.287,95.27300000000002,зросте
84,India,1056575.548,1447025.612,390450.064,зросте
85,Iran (Islamic Republic of),65623.397,98587.985,32964.588,зросте
